,account_id,district_id,account_frequency,account_date,account_year
87,1144,59,1,1993-01-28,1993
88,2902,32,1,1993-01-28,1993
89,4296,63,1,1993-01-28,1993
90,443,64,1,1993-01-28,1993
91,3693,61,1,1993-01-29,1993
92,2070,72,1,1993-01-29,1993
93,1843,12,1,1993-01-30,1993
94,2714,1,1,1993-01-30,1993
95,4078,40,1,1993-01-30,1993
96,1675,36,1,1993-02-01,1993
97,5868,44,1,1993-02-02,1993
98,1805,1,1,1993-02-02,1993
99,2434,17,1,1993-02-02,1993
100,3007,16,1,1993-02-02,1993
101,2574,68,1,1993-02-02,1993
102,862,64,2,1993-02-02,1993
103,1132,1,2,1993-02-03,1993
104,4484,54,1,1993-02-03,1993
105,943,1,1,1993-02-03,1993
106,3514,7,1,1993-02-03,1993
107,3983,67,1,1993-02-04,1993
108,9265,1,1,1993-02-04,1993
109,465,32,1,1993-02-04,1993
110,982,54,1,1993-02-05,1993
111,411,70,1,1993-02-05,1993
112,890,14,1,1993-02-05,1993
113,627,63,1,1993-02-05,1993
114,2429,61,1,1993-02-06,1993
115,3960,64,1,1993-02-06,1993
116,2256,48,1,1993-02-06,1993
117,8051,1,2,1993-02-07,1993
118,2647,73,1,1993-02-08,1993
119,2241,6,1,1993-02-08,1993
120,5622,70,1,1993-02-08,1993
121,2884,1,1,1993-02-08,1993
122,1830,10,1,1993-02-08,1993
123,7753,74,1,1993-02-08,1993
124,244,24,1,1993-02-08,1993
125,1477,1,1,1993-02-08,1993
126,4240,50,1,1993-02-08,1993
127,1006,6,1,1993-02-08,1993
128,830,74,1,1993-02-08,1993
129,9188,45,1,1993-02-08,1993
130,1965,57,0,1993-02-08,1993
131,1134,6,1,1993-02-09,1993
132,1601,10,1,1993-02-09,1993
133,2861,38,1,1993-02-10,1993
134,813,16,1,1993-02-10,1993
135,2585,75,1,1993-02-10,1993
136,2220,16,1,1993-02-10,1993
137,2763,64,1,1993-02-11,1993
138,2342,51,1,1993-02-11,1993
139,1944,72,1,1993-02-12,1993
140,1966,27,1,1993-02-12,1993
141,1801,46,1,1993-02-13,1993
142,2543,68,1,1993-02-13,1993
143,2293,31,1,1993-02-13,1993
144,11013,1,2,1993-02-14,1993
145,2423,30,1,1993-02-14,1993
146,142,51,1,1993-02-15,1993
147,3424,74,1,1993-02-16,1993
148,539,13,0,1993-02-16,1993
149,979,21,1,1993-02-16,1993
150,3554,66,1,1993-02-16,1993
151,3545,51,1,1993-02-17,1993
152,3047,16,1,1993-02-17,1993
153,3374,21,1,1993-02-17,1993
154,96,68,1,1993-02-18,1993
155,461,30,1,1993-02-18,1993
156,3593,1,1,1993-02-18,1993
157,3026,24,1,1993-02-18,1993
158,1054,10,1,1993-02-19,1993
159,2433,71,1,1993-02-19,1993
160,3691,50,1,1993-02-19,1993
161,3787,70,1,1993-02-19,1993
162,128,2,1,1993-02-19,1993
163,3168,39,1,1993-02-20,1993
164,4937,12,1,1993-02-20,1993
165,2124,69,1,1993-02-20,1993
166,322,1,1,1993-02-20,1993
167,4355,31,1,1993-02-21,1993
168,1678,1,1,1993-02-22,1993
169,2396,2,1,1993-02-22,1993
170,1005,54,2,1993-02-23,1993
171,697,28,1,1993-02-23,1993
172,925,59,1,1993-02-23,1993
173,2110,64,1,1993-02-23,1993
174,1366,60,1,1993-02-24,1993
175,1050,57,0,1993-02-24,1993
176,3117,33,1,1993-02-24,1993
177,562,50,1,1993-02-25,1993
178,5369,54,1,1993-02-25,1993
179,2242,7,2,1993-02-25,1993
180,197,1,1,1993-02-25,1993
181,496,69,1,1993-02-26,1993
182,2,1,1,1993-02-26,1993
183,7401,1,1,1993-02-26,1993
184,2486,1,1,1993-02-27,1993
185,428,1,1,1993-02-27,1993
186,3651,23,1,1993-02-27,1993
187,1775,17,1,1993-02-27,1993
188,1688,70,1,1993-02-27,1993
189,361,51,1,1993-02-27,1993
190,1829,43,1,1993-02-27,1993
191,1575,1,1,1993-02-27,1993
192,9203,70,1,1993-02-27,1993
193,3008,72,1,1993-02-27,1993
194,239,69,2,1993-03-01,1993
195,3302,21,1,1993-03-02,1993
196,415,25,1,1993-03-03,1993
197,3513,20,1,1993-03-03,1993
198,4134,7,1,1993-03-03,1993
199,1077,14,1,1993-03-03,1993
200,1713,43,1,1993-03-03,1993
201,1378,59,1,1993-03-04,1993
202,2503,1,1,1993-03-05,1993
203,559,46,1,1993-03-05,1993
204,6555,38,2,1993-03-05,1993
205,744,42,1,1993-03-06,1993
206,882,9,1,1993-03-06,1993
207,86,54,1,1993-03-07,1993
208,1126,56,1,1993-03-08,1993
209,2666,49,1,1993-03-08,1993
210,944,70,1,1993-03-08,1993
211,1545,1,1,1993-03-08,1993
212,2453,1,1,1993-03-08,1993
213,3734,43,1,1993-03-08,1993
214,3935,23,1,1993-03-08,1993
215,396,21,1,1993-03-08,1993
216,2694,7,1,1993-03-08,1993
217,4596,74,1,1993-03-09,1993
218,2489,72,1,1993-03-09,1993
219,2895,19,1,1993-03-09,1993
220,317,76,1,1993-03-10,1993
221,2555,53,1,1993-03-10,1993
222,494,60,1,1993-03-11,1993
223,2219,60,1,1993-03-11,1993
224,2581,72,1,1993-03-11,1993
225,112,6,1,1993-03-12,1993
226,3674,38,1,1993-03-12,1993
227,2039,44,1,1993-03-12,1993
228,2712,9,1,1993-03-12,1993
229,395,1,1,1993-03-12,1993
230,2974,9,1,1993-03-13,1993
231,123,21,1,1993-03-13,1993
232,9640,1,1,1993-03-13,1993
233,3108,53,1,1993-03-14,1993
234,2508,34,1,1993-03-14,1993
235,2458,40,2,1993-03-14,1993
236,588,66,1,1993-03-14,1993
237,7231,10,1,1993-03-14,1993
238,6701,49,2,1993-03-15,1993
239,3883,72,1,1993-03-15,1993
240,222,37,1,1993-03-15,1993
241,2497,65,1,1993-03-16,1993
242,1372,1,1,1993-03-16,1993
243,3835,50,1,1993-03-16,1993
244,7445,64,1,1993-03-18,1993
245,2527,38,1,1993-03-19,1993
246,425,9,1,1993-03-19,1993
247,860,1,1,1993-03-19,1993
248,6034,6,2,1993-03-19,1993
249,11065,11,1,1993-03-19,1993
250,9883,1,1,1993-03-19,1993
251,115,68,1,1993-03-19,1993
252,1189,59,1,1993-03-19,1993
253,3675,64,1,1993-03-20,1993
254,3069,66,1,1993-03-20,1993
255,2762,19,1,1993-03-20,1993
256,892,70,1,1993-03-20,1993
257,1535,46,1,1993-03-20,1993
258,2618,60,1,1993-03-21,1993
259,2651,2,1,1993-03-21,1993
260,5442,34,1,1993-03-22,1993
261,1787,30,2,1993-03-22,1993
262,1397,17,1,1993-03-22,1993
263,3785,10,1,1993-03-24,1993
264,623,1,1,1993-03-24,1993
265,8260,31,1,1993-03-24,1993
266,3678,1,1,1993-03-24,1993
267,3001,1,1,1993-03-24,1993
268,655,53,1,1993-03-24,1993
269,4093,1,1,1993-03-25,1993
270,3260,68,1,1993-03-25,1993
271,2528,65,1,1993-03-25,1993
272,2011,75,1,1993-03-25,1993
273,1721,68,1,1993-03-25,1993
274,1332,59,1,1993-03-25,1993
275,1402,74,1,1993-03-26,1993
276,3283,68,1,1993-03-26,1993
277,3781,31,1,1993-03-26,1993
278,7203,71,1,1993-03-26,1993
279,1065,72,1,1993-03-27,1993
280,3076,54,1,1993-03-27,1993
281,4347,1,1,1993-03-27,1993
282,1157,7,1,1993-03-27,1993
283,9403,1,2,1993-03-27,1993
284,1874,9,1,1993-03-27,1993
285,1115,34,1,1993-03-27,1993
286,3586,59,1,1993-03-27,1993
287,62,47,1,1993-03-28,1993
288,1771,69,1,1993-03-28,1993
289,5483,13,1,1993-03-28,1993
290,8330,48,1,1993-03-28,1993
291,187,5,1,1993-03-28,1993
292,423,12,1,1993-03-28,1993
293,6425,31,1,1993-03-29,1993
294,2493,62,1,1993-03-29,1993
295,2896,29,1,1993-03-30,1993
296,2245,29,1,1993-03-30,1993
297,3923,52,1,1993-03-30,1993
298,1898,70,1,1993-04-01,1993
299,3367,1,1,1993-04-01,1993
300,3391,74,1,1993-04-01,1993
301,8519,23,1,1993-04-02,1993
302,1780,1,1,1993-04-02,1993
303,3915,65,1,1993-04-02,1993
304,3980,75,1,1993-04-03,1993
305,4350,63,1,1993-04-04,1993
306,686,41,1,1993-04-04,1993
307,362,15,1,1993-04-04,1993
308,299,77,1,1993-04-05,1993
309,2488,5,1,1993-04-06,1993
310,2985,71,1,1993-04-06,1993
311,385,5,1,1993-04-07,1993
312,2817,56,1,1993-04-07,1993
313,2056,58,1,1993-04-07,1993
314,2002,1,1,1993-04-08,1993
315,748,10,1,1993-04-08,1993
316,220,72,1,1993-04-09,1993
317,1422,68,1,1993-04-09,1993
318,1147,44,1,1993-04-10,1993
319,3788,70,1,1993-04-10,1993
320,1891,32,1,1993-04-10,1993
321,1239,1,1,1993-04-10,1993
322,8321,77,1,1993-04-12,1993
323,3213,51,1,1993-04-12,1993
324,2838,3,2,1993-04-13,1993
325,3644,38,1,1993-04-13,1993
326,4318,33,2,1993-04-13,1993
327,2648,51,1,1993-04-13,1993
328,2313,26,2,1993-04-13,1993
329,5428,24,1,1993-04-14,1993
330,7123,64,0,1993-04-14,1993
331,279,39,1,1993-04-14,1993
332,104,37,1,1993-04-15,1993
333,497,55,1,1993-04-15,1993
334,1152,45,1,1993-04-15,1993
335,83,26,1,1993-04-16,1993
336,2008,52,1,1993-04-16,1993
337,3327,45,1,1993-04-16,1993
338,5740,43,1,1993-04-16,1993
339,8132,5,2,1993-04-17,1993
340,10738,45,2,1993-04-17,1993
341,2216,74,1,1993-04-17,1993
342,1815,66,1,1993-04-17,1993
343,2823,57,1,1993-04-18,1993
344,4321,47,1,1993-04-18,1993
345,1773,33,1,1993-04-19,1993
346,7454,4,1,1993-04-19,1993
347,188,54,1,1993-04-20,1993
348,10973,18,2,1993-04-20,1993
349,2599,48,1,1993-04-20,1993
350,1166,11,1,1993-04-21,1993
351,504,73,1,1993-04-21,1993
352,1518,67,1,1993-04-21,1993
353,2189,75,1,1993-04-22,1993
354,6040,1,1,1993-04-22,1993
355,2876,52,1,1993-04-22,1993
356,1505,69,1,1993-04-23,1993
357,6897,48,1,1993-04-23,1993
358,4377,28,1,1993-04-24,1993
359,717,75,1,1993-04-24,1993
360,9707,70,1,1993-04-24,1993
361,2814,72,1,1993-04-25,1993
362,3068,59,1,1993-04-25,1993
363,1476,61,1,1993-04-26,1993
364,897,38,1,1993-04-26,1993
365,977,1,1,1993-04-26,1993
366,2639,17,1,1993-04-26,1993
367,1032,11,1,1993-04-26,1993
368,928,20,1,1993-04-26,1993
369,168,31,1,1993-04-27,1993
370,2175,1,1,1993-04-27,1993
371,10105,55,1,1993-04-28,1993
372,1392,60,1,1993-04-28,1993
373,3697,45,1,1993-04-29,1993
374,5313,40,1,1993-04-29,1993
375,2222,47,1,1993-05-01,1993
376,2641,7,1,1993-05-02,1993
377,5423,15,1,1993-05-02,1993
378,2609,73,1,1993-05-03,1993
379,5472,1,1,1993-05-04,1993
380,2932,72,1,1993-05-04,1993
381,4254,70,1,1993-05-04,1993
382,3965,31,1,1993-05-04,1993
383,10656,8,1,1993-05-05,1993
384,887,1,1,1993-05-05,1993
385,4743,64,1,1993-05-05,1993
386,1048,35,1,1993-05-05,1993
387,1671,6,1,1993-05-05,1993
388,1236,19,1,1993-05-05,1993
389,1822,30,1,1993-05-05,1993
390,3316,28,1,1993-05-06,1993
391,2037,20,1,1993-05-06,1993
392,10079,62,1,1993-05-06,1993
393,3999,35,1,1993-05-06,1993
394,551,77,1,1993-05-07,1993
395,1200,33,1,1993-05-07,1993
396,1161,66,1,1993-05-08,1993
397,5372,48,1,1993-05-08,1993
398,3050,60,1,1993-05-08,1993
399,1784,59,1,1993-05-08,1993
400,1603,1,1,1993-05-09,1993
401,1887,68,1,1993-05-09,1993
402,1644,1,1,1993-05-09,1993
403,1658,73,1,1993-05-10,1993
404,44,32,1,1993-05-10,1993
405,1039,70,2,1993-05-10,1993
406,1071,68,2,1993-05-10,1993
407,2410,54,1,1993-05-11,1993
408,2523,10,1,1993-05-11,1993
409,790,54,1,1993-05-11,1993
410,2583,62,1,1993-05-11,1993
411,1782,8,1,1993-05-12,1993
412,751,3,1,1993-05-12,1993
413,2061,24,1,1993-05-12,1993
414,8261,13,1,1993-05-12,1993
415,2321,35,1,1993-05-13,1993
416,1334,74,1,1993-05-14,1993
417,3649,54,1,1993-05-14,1993
418,555,24,1,1993-05-15,1993
419,3173,39,1,1993-05-15,1993
420,863,71,1,1993-05-16,1993
421,3181,42,1,1993-05-16,1993
422,3210,1,1,1993-05-17,1993
423,489,16,1,1993-05-17,1993
424,947,59,1,1993-05-17,1993
425,3284,64,1,1993-05-17,1993
426,1610,52,1,1993-05-17,1993
427,4225,55,1,1993-05-18,1993
428,1412,64,1,1993-05-18,1993
429,1937,36,1,1993-05-18,1993
430,991,39,1,1993-05-18,1993
431,1180,20,1,1993-05-19,1993
432,2758,70,1,1993-05-19,1993
433,2711,58,1,1993-05-19,1993
434,1652,74,1,1993-05-20,1993
435,3099,70,1,1993-05-20,1993
436,11111,1,1,1993-05-20,1993
437,9591,74,1,1993-05-20,1993
438,9828,11,1,1993-05-20,1993
439,5385,44,2,1993-05-21,1993
440,23,30,1,1993-05-22,1993
441,2645,54,1,1993-05-22,1993
442,2991,19,1,1993-05-22,1993
443,3469,76,1,1993-05-22,1993
444,1851,55,1,1993-05-23,1993
445,3844,67,1,1993-05-23,1993
446,1442,23,1,1993-05-23,1993
447,3064,40,1,1993-05-23,1993
448,3558,4,1,1993-05-23,1993
449,1534,1,1,1993-05-24,1993
450,334,1,1,1993-05-24,1993
451,1786,1,1,1993-05-25,1993
452,1272,40,2,1993-05-25,1993
453,2436,67,1,1993-05-25,1993
454,3796,53,1,1993-05-25,1993
455,119,27,1,1993-05-25,1993
456,3063,72,1,1993-05-26,1993
457,18,43,2,1993-05-26,1993
458,11320,44,1,1993-05-26,1993
459,3888,39,1,1993-05-27,1993
460,1584,30,1,1993-05-27,1993
461,5546,43,1,1993-05-28,1993
462,2029,55,1,1993-05-29,1993
463,10911,1,2,1993-05-29,1993
464,2467,33,1,1993-05-29,1993
465,2962,1,1,1993-05-30,1993
466,165,25,1,1993-06-01,1993
467,1617,45,1,1993-06-01,1993
468,327,54,1,1993-06-02,1993
469,2068,21,1,1993-06-02,1993
470,4448,60,1,1993-06-02,1993
471,640,32,1,1993-06-02,1993
472,510,1,2,1993-06-02,1993
473,2534,61,1,1993-06-03,1993
474,1018,7,1,1993-06-03,1993
475,1285,65,1,1993-06-04,1993
476,3670,27,1,1993-06-04,1993
477,1743,51,1,1993-06-04,1993
478,3072,8,1,1993-06-05,1993
479,2146,31,1,1993-06-05,1993
480,4576,27,1,1993-06-05,1993
481,3258,53,1,1993-06-05,1993
482,2176,67,1,1993-06-06,1993
483,8934,51,1,1993-06-06,1993
484,1999,70,1,1993-06-06,1993
485,2741,15,1,1993-06-07,1993
486,4427,32,1,1993-06-07,1993
487,3682,70,1,1993-06-07,1993
488,2862,33,1,1993-06-07,1993
489,3032,5,1,1993-06-07,1993
490,701,69,1,1993-06-08,1993
491,6281,56,1,1993-06-08,1993
492,306,16,1,1993-06-08,1993
493,1207,67,1,1993-06-08,1993
494,1247,25,1,1993-06-08,1993
495,5343,64,1,1993-06-08,1993
496,5129,68,1,1993-06-08,1993
497,3713,14,2,1993-06-08,1993
498,2327,19,1,1993-06-08,1993
499,774,1,1,1993-06-08,1993
500,1990,1,1,1993-06-09,1993
501,2388,30,1,1993-06-09,1993
502,3566,21,1,1993-06-09,1993
503,10266,54,1,1993-06-10,1993
504,3771,22,1,1993-06-11,1993
505,1978,57,2,1993-06-11,1993
506,2022,72,1,1993-06-11,1993
507,3542,49,1,1993-06-11,1993
508,1515,11,1,1993-06-11,1993
509,4171,28,1,1993-06-12,1993
510,433,20,1,1993-06-12,1993
511,1373,47,1,1993-06-12,1993
512,3246,54,1,1993-06-14,1993
513,1475,1,2,1993-06-14,1993
514,3133,66,1,1993-06-14,1993
515,2779,73,1,1993-06-15,1993
516,135,75,1,1993-06-15,1993
517,446,50,1,1993-06-15,1993
518,9093,47,1,1993-06-16,1993
519,432,46,1,1993-06-16,1993
520,2880,71,1,1993-06-16,1993
521,5767,72,1,1993-06-16,1993
522,1998,1,1,1993-06-17,1993
523,2554,36,1,1993-06-18,1993
524,2933,10,1,1993-06-18,1993
525,773,15,1,1993-06-19,1993
526,4894,14,1,1993-06-20,1993
527,3969,39,1,1993-06-20,1993
528,1277,31,1,1993-06-20,1993
529,5120,1,1,1993-06-21,1993
530,738,34,1,1993-06-21,1993
531,1299,1,1,1993-06-21,1993
532,148,8,1,1993-06-21,1993
533,899,72,1,1993-06-21,1993
534,3521,75,1,1993-06-22,1993
535,3786,21,1,1993-06-22,1993
536,886,1,1,1993-06-23,1993
537,5228,77,0,1993-06-23,1993
538,702,12,1,1993-06-23,1993
539,300,1,1,1993-06-23,1993
540,1451,64,1,1993-06-24,1993
541,2940,54,1,1993-06-24,1993
542,1837,23,1,1993-06-24,1993
543,3954,22,1,1993-06-25,1993
544,885,1,1,1993-06-25,1993
545,2697,8,1,1993-06-26,1993
546,8129,45,1,1993-06-26,1993
547,1930,3,1,1993-06-27,1993
548,2411,69,1,1993-06-27,1993
549,3775,19,1,1993-06-27,1993
550,9034,1,1,1993-06-28,1993
551,902,74,1,1993-06-29,1993
552,630,71,1,1993-06-29,1993
553,3096,68,1,1993-06-29,1993
554,2552,52,1,1993-07-01,1993
555,3435,59,1,1993-07-01,1993
556,5215,55,1,1993-07-01,1993
557,36,1,1,1993-07-01,1993
558,2687,76,1,1993-07-01,1993
559,1861,54,1,1993-07-02,1993
560,2464,33,0,1993-07-02,1993
561,2736,72,1,1993-07-02,1993
562,1145,31,1,1993-07-03,1993
563,2298,31,1,1993-07-03,1993
564,929,54,1,1993-07-03,1993
565,381,68,1,1993-07-04,1993
566,3778,52,1,1993-07-04,1993
567,1118,48,1,1993-07-04,1993
568,4352,2,1,1993-07-05,1993
569,1322,17,1,1993-07-05,1993
570,1852,35,1,1993-07-05,1993
571,8173,11,1,1993-07-05,1993
572,2705,63,0,1993-07-05,1993
573,9472,1,2,1993-07-06,1993
574,368,77,1,1993-07-06,1993
575,1425,76,1,1993-07-06,1993
576,8027,44,2,1993-07-07,1993
577,3261,1,1,1993-07-07,1993
578,35,75,1,1993-07-07,1993
579,2186,63,1,1993-07-07,1993
580,1566,73,1,1993-07-07,1993
581,78,74,1,1993-07-07,1993
582,3939,70,1,1993-07-08,1993
583,2584,50,1,1993-07-08,1993
584,2336,39,1,1993-07-08,1993
585,2078,62,1,1993-07-08,1993
586,3882,10,1,1993-07-09,1993
587,4159,74,1,1993-07-09,1993
588,907,41,1,1993-07-09,1993
589,1411,54,1,1993-07-09,1993
590,1684,32,2,1993-07-10,1993
591,3748,1,1,1993-07-10,1993
592,2213,68,1,1993-07-11,1993
593,1062,6,1,1993-07-11,1993
594,273,24,0,1993-07-11,1993
595,10320,68,1,1993-07-11,1993
596,1416,66,2,1993-07-12,1993
597,3277,36,1,1993-07-12,1993
598,1892,28,1,1993-07-13,1993
599,3413,70,1,1993-07-13,1993
600,3654,47,1,1993-07-13,1993
601,3000,28,1,1993-07-14,1993
602,3955,64,1,1993-07-14,1993
603,1544,69,1,1993-07-14,1993
604,9703,68,1,1993-07-15,1993
605,234,73,1,1993-07-15,1993
606,3241,44,1,1993-07-16,1993
607,3465,1,1,1993-07-16,1993
608,3152,1,1,1993-07-16,1993
609,1497,1,1,1993-07-16,1993
610,3078,1,1,1993-07-16,1993
611,400,28,1,1993-07-17,1993
612,1902,50,2,1993-07-17,1993
613,757,50,1,1993-07-19,1993
614,1116,1,1,1993-07-20,1993
615,5700,42,1,1993-07-20,1993
616,3267,64,1,1993-07-21,1993
617,3222,4,1,1993-07-21,1993
618,408,41,1,1993-07-21,1993
619,2818,40,1,1993-07-21,1993
620,6273,38,1,1993-07-21,1993
621,2513,70,1,1993-07-22,1993
622,3493,63,1,1993-07-22,1993
623,1201,61,1,1993-07-23,1993
624,4478,70,1,1993-07-23,1993
625,2915,57,1,1993-07-23,1993
626,9833,20,1,1993-07-24,1993
627,2253,74,1,1993-07-24,1993
628,1069,70,1,1993-07-24,1993
629,207,2,1,1993-07-25,1993
630,3212,70,1,1993-07-25,1993
631,4035,1,1,1993-07-25,1993
632,1268,74,1,1993-07-25,1993
633,3287,18,1,1993-07-26,1993
634,6226,74,2,1993-07-26,1993
635,2123,64,1,1993-07-26,1993
636,3982,26,1,1993-07-27,1993
637,2701,71,1,1993-07-27,1993
638,3629,48,1,1993-07-27,1993
639,2841,71,1,1993-07-27,1993
640,563,53,1,1993-07-27,1993
641,2732,5,1,1993-07-27,1993
642,1297,70,1,1993-07-27,1993
643,7485,39,1,1993-07-28,1993
644,2088,4,1,1993-07-28,1993
645,225,1,1,1993-07-28,1993
646,1630,72,1,1993-07-28,1993
647,403,1,1,1993-07-29,1993
648,445,63,2,1993-07-29,1993
649,186,1,2,1993-07-29,1993
650,3720,36,1,1993-07-30,1993
651,574,70,1,1993-07-30,1993
652,1429,57,1,1993-07-30,1993
653,3580,43,1,1993-08-01,1993
654,7819,38,1,1993-08-01,1993
655,759,23,1,1993-08-01,1993
656,6363,74,1,1993-08-01,1993
657,3738,51,1,1993-08-01,1993
658,4000,7,1,1993-08-02,1993
659,9041,1,1,1993-08-03,1993
660,2620,22,1,1993-08-03,1993
661,3609,28,1,1993-08-03,1993
662,1382,48,1,1993-08-03,1993
663,930,41,1,1993-08-03,1993
664,1925,12,1,1993-08-03,1993
665,1834,62,1,1993-08-03,1993
666,1507,35,1,1993-08-03,1993
667,7857,75,1,1993-08-04,1993
668,6636,72,2,1993-08-04,1993
669,601,29,1,1993-08-04,1993
670,3298,29,1,1993-08-04,1993
671,2938,1,1,1993-08-04,1993
672,2199,1,1,1993-08-04,1993
673,3745,5,1,1993-08-04,1993
674,3699,50,1,1993-08-05,1993
675,816,52,1,1993-08-05,1993
676,3656,53,1,1993-08-06,1993
677,2038,42,1,1993-08-06,1993
678,2542,21,1,1993-08-07,1993
679,1136,12,1,1993-08-07,1993
680,1589,37,1,1993-08-07,1993
681,3136,69,1,1993-08-07,1993
682,3547,54,1,1993-08-07,1993
683,26,52,1,1993-08-08,1993
684,657,47,1,1993-08-08,1993
685,3538,58,1,1993-08-08,1993
686,2167,16,1,1993-08-08,1993
687,3127,66,1,1993-08-08,1993
688,47,45,1,1993-08-08,1993
689,3850,8,1,1993-08-09,1993
690,5366,70,1,1993-08-09,1993
691,747,39,1,1993-08-09,1993
692,3166,71,1,1993-08-10,1993
693,11021,1,1,1993-08-10,1993
694,1701,1,1,1993-08-10,1993
695,3613,43,1,1993-08-10,1993
696,3600,27,1,1993-08-10,1993
697,3792,10,1,1993-08-11,1993
698,523,1,1,1993-08-11,1993
699,3808,38,1,1993-08-11,1993
700,1401,1,1,1993-08-12,1993
701,541,61,1,1993-08-12,1993
702,1023,21,1,1993-08-13,1993
703,3683,33,1,1993-08-13,1993
704,3220,29,1,1993-08-14,1993
705,1779,33,1,1993-08-15,1993
706,1912,64,1,1993-08-15,1993
707,238,6,1,1993-08-15,1993
708,3113,67,1,1993-08-16,1993
709,5481,52,1,1993-08-16,1993
710,3035,15,2,1993-08-16,1993
711,942,9,1,1993-08-16,1993
712,3221,5,1,1993-08-17,1993
713,2616,1,1,1993-08-17,1993
714,2137,4,0,1993-08-17,1993
715,978,73,1,1993-08-18,1993
716,2771,37,1,1993-08-18,1993
717,3891,1,1,1993-08-18,1993
718,9236,11,1,1993-08-18,1993
719,274,76,1,1993-08-20,1993
720,552,14,1,1993-08-20,1993
721,2417,44,1,1993-08-20,1993
722,3868,43,1,1993-08-21,1993
723,9869,12,1,1993-08-21,1993
724,1875,44,1,1993-08-21,1993
725,8212,52,0,1993-08-21,1993
726,3477,71,1,1993-08-22,1993
727,1513,30,1,1993-08-23,1993
728,3053,11,1,1993-08-23,1993
729,1057,13,1,1993-08-23,1993
730,6030,47,1,1993-08-24,1993
731,3407,28,1,1993-08-24,1993
732,1761,24,1,1993-08-24,1993
733,3306,75,1,1993-08-24,1993
734,162,60,1,1993-08-25,1993
735,5011,31,1,1993-08-25,1993
736,965,20,1,1993-08-25,1993
737,1305,57,1,1993-08-25,1993
738,815,56,1,1993-08-25,1993
739,1449,35,1,1993-08-26,1993
740,950,49,1,1993-08-26,1993
741,3361,45,1,1993-08-26,1993
