account_id;district_id;account_frequency;account_date;Day;Month;Year;account_frequency_after-transaction;account_frequency_monthly;account_frequency_weekly
1179;74;1;1993-01-23;23;1;1993;0;1;0
280;25;1;1993-01-23;23;1;1993;0;1;0
2425;41;1;1993-01-23;23;1;1993;0;1;0
7106;68;1;1993-01-24;24;1;1993;0;1;0
4055;23;1;1993-01-24;24;1;1993;0;1;0
5065;66;1;1993-01-24;24;1;1993;0;1;0
3704;75;1;1993-01-24;24;1;1993;0;1;0
477;1;1;1993-01-25;25;1;1993;0;1;0
5891;54;1;1993-01-25;25;1;1993;0;1;0
1000;77;1;1993-01-25;25;1;1993;0;1;0
1750;1;1;1993-01-26;26;1;1993;0;1;0
2023;68;1;1993-01-26;26;1;1993;0;1;0
6473;12;1;1993-01-26;26;1;1993;0;1;0
1649;46;1;1993-01-26;26;1;1993;0;1;0
2670;13;1;1993-01-27;27;1;1993;0;1;0
1127;27;1;1993-01-27;27;1;1993;0;1;0
163;30;1;1993-01-27;27;1;1993;0;1;0
2566;48;1;1993-01-27;27;1;1993;0;1;0
9;70;1;1993-01-27;27;1;1993;0;1;0
1144;59;1;1993-01-28;28;1;1993;0;1;0
2902;32;1;1993-01-28;28;1;1993;0;1;0
4296;63;1;1993-01-28;28;1;1993;0;1;0
443;64;1;1993-01-28;28;1;1993;0;1;0
3693;61;1;1993-01-29;29;1;1993;0;1;0
2070;72;1;1993-01-29;29;1;1993;0;1;0
1843;12;1;1993-01-30;30;1;1993;0;1;0
2714;1;1;1993-01-30;30;1;1993;0;1;0
4078;40;1;1993-01-30;30;1;1993;0;1;0
1675;36;1;1993-02-01;1;2;1993;0;1;0
5868;44;1;1993-02-02;2;2;1993;0;1;0
1805;1;1;1993-02-02;2;2;1993;0;1;0
2434;17;1;1993-02-02;2;2;1993;0;1;0
3007;16;1;1993-02-02;2;2;1993;0;1;0
2574;68;1;1993-02-02;2;2;1993;0;1;0
862;64;2;1993-02-02;2;2;1993;0;0;1
1132;1;2;1993-02-03;3;2;1993;0;0;1
4484;54;1;1993-02-03;3;2;1993;0;1;0
943;1;1;1993-02-03;3;2;1993;0;1;0
3514;7;1;1993-02-03;3;2;1993;0;1;0
3983;67;1;1993-02-04;4;2;1993;0;1;0
7106;1;1;1993-02-04;4;2;1993;0;1;0
465;32;1;1993-02-04;4;2;1993;0;1;0
982;54;1;1993-02-05;5;2;1993;0;1;0
411;70;1;1993-02-05;5;2;1993;0;1;0
890;14;1;1993-02-05;5;2;1993;0;1;0
627;63;1;1993-02-05;5;2;1993;0;1;0
2429;61;1;1993-02-06;6;2;1993;0;1;0
3960;64;1;1993-02-06;6;2;1993;0;1;0
2256;48;1;1993-02-06;6;2;1993;0;1;0
7106;1;2;1993-02-07;7;2;1993;0;0;1
2647;73;1;1993-02-08;8;2;1993;0;1;0
2241;6;1;1993-02-08;8;2;1993;0;1;0
5622;70;1;1993-02-08;8;2;1993;0;1;0
2884;1;1;1993-02-08;8;2;1993;0;1;0
1830;10;1;1993-02-08;8;2;1993;0;1;0
7106;74;1;1993-02-08;8;2;1993;0;1;0
244;24;1;1993-02-08;8;2;1993;0;1;0
1477;1;1;1993-02-08;8;2;1993;0;1;0
4240;50;1;1993-02-08;8;2;1993;0;1;0
1006;6;1;1993-02-08;8;2;1993;0;1;0
830;74;1;1993-02-08;8;2;1993;0;1;0
7106;45;1;1993-02-08;8;2;1993;0;1;0
1965;57;0;1993-02-08;8;2;1993;1;0;0
1134;6;1;1993-02-09;9;2;1993;0;1;0
1601;10;1;1993-02-09;9;2;1993;0;1;0
2861;38;1;1993-02-10;10;2;1993;0;1;0
813;16;1;1993-02-10;10;2;1993;0;1;0
2585;75;1;1993-02-10;10;2;1993;0;1;0
2220;16;1;1993-02-10;10;2;1993;0;1;0
2763;64;1;1993-02-11;11;2;1993;0;1;0
2342;51;1;1993-02-11;11;2;1993;0;1;0
1944;72;1;1993-02-12;12;2;1993;0;1;0
1966;27;1;1993-02-12;12;2;1993;0;1;0
1801;46;1;1993-02-13;13;2;1993;0;1;0
2543;68;1;1993-02-13;13;2;1993;0;1;0
2293;31;1;1993-02-13;13;2;1993;0;1;0
7106;1;2;1993-02-14;14;2;1993;0;0;1
2423;30;1;1993-02-14;14;2;1993;0;1;0
142;51;1;1993-02-15;15;2;1993;0;1;0
3424;74;1;1993-02-16;16;2;1993;0;1;0
539;13;0;1993-02-16;16;2;1993;1;0;0
979;21;1;1993-02-16;16;2;1993;0;1;0
3554;66;1;1993-02-16;16;2;1993;0;1;0
3545;51;1;1993-02-17;17;2;1993;0;1;0
3047;16;1;1993-02-17;17;2;1993;0;1;0
3374;21;1;1993-02-17;17;2;1993;0;1;0
96;68;1;1993-02-18;18;2;1993;0;1;0
461;30;1;1993-02-18;18;2;1993;0;1;0
3593;1;1;1993-02-18;18;2;1993;0;1;0
3026;24;1;1993-02-18;18;2;1993;0;1;0
1054;10;1;1993-02-19;19;2;1993;0;1;0
2433;71;1;1993-02-19;19;2;1993;0;1;0
3691;50;1;1993-02-19;19;2;1993;0;1;0
3787;70;1;1993-02-19;19;2;1993;0;1;0
128;2;1;1993-02-19;19;2;1993;0;1;0
3168;39;1;1993-02-20;20;2;1993;0;1;0
4937;12;1;1993-02-20;20;2;1993;0;1;0
2124;69;1;1993-02-20;20;2;1993;0;1;0
322;1;1;1993-02-20;20;2;1993;0;1;0
4355;31;1;1993-02-21;21;2;1993;0;1;0
1678;1;1;1993-02-22;22;2;1993;0;1;0
2396;2;1;1993-02-22;22;2;1993;0;1;0
1005;54;2;1993-02-23;23;2;1993;0;0;1
697;28;1;1993-02-23;23;2;1993;0;1;0
925;59;1;1993-02-23;23;2;1993;0;1;0
2110;64;1;1993-02-23;23;2;1993;0;1;0
1366;60;1;1993-02-24;24;2;1993;0;1;0
1050;57;0;1993-02-24;24;2;1993;1;0;0
3117;33;1;1993-02-24;24;2;1993;0;1;0
562;50;1;1993-02-25;25;2;1993;0;1;0
5369;54;1;1993-02-25;25;2;1993;0;1;0
2242;7;2;1993-02-25;25;2;1993;0;0;1
197;1;1;1993-02-25;25;2;1993;0;1;0
496;69;1;1993-02-26;26;2;1993;0;1;0
2;1;1;1993-02-26;26;2;1993;0;1;0
7106;1;1;1993-02-26;26;2;1993;0;1;0
2486;1;1;1993-02-27;27;2;1993;0;1;0
428;1;1;1993-02-27;27;2;1993;0;1;0
3651;23;1;1993-02-27;27;2;1993;0;1;0
1775;17;1;1993-02-27;27;2;1993;0;1;0
1688;70;1;1993-02-27;27;2;1993;0;1;0
361;51;1;1993-02-27;27;2;1993;0;1;0
1829;43;1;1993-02-27;27;2;1993;0;1;0
1575;1;1;1993-02-27;27;2;1993;0;1;0
7106;70;1;1993-02-27;27;2;1993;0;1;0
3008;72;1;1993-02-27;27;2;1993;0;1;0
239;69;2;1993-03-01;1;3;1993;0;0;1
3302;21;1;1993-03-02;2;3;1993;0;1;0
415;25;1;1993-03-03;3;3;1993;0;1;0
3513;20;1;1993-03-03;3;3;1993;0;1;0
4134;7;1;1993-03-03;3;3;1993;0;1;0
1077;14;1;1993-03-03;3;3;1993;0;1;0
1713;43;1;1993-03-03;3;3;1993;0;1;0
1378;59;1;1993-03-04;4;3;1993;0;1;0
2503;1;1;1993-03-05;5;3;1993;0;1;0
559;46;1;1993-03-05;5;3;1993;0;1;0
6555;38;2;1993-03-05;5;3;1993;0;0;1
744;42;1;1993-03-06;6;3;1993;0;1;0
882;9;1;1993-03-06;6;3;1993;0;1;0
86;54;1;1993-03-07;7;3;1993;0;1;0
1126;56;1;1993-03-08;8;3;1993;0;1;0
2666;49;1;1993-03-08;8;3;1993;0;1;0
944;70;1;1993-03-08;8;3;1993;0;1;0
1545;1;1;1993-03-08;8;3;1993;0;1;0
2453;1;1;1993-03-08;8;3;1993;0;1;0
3734;43;1;1993-03-08;8;3;1993;0;1;0
3935;23;1;1993-03-08;8;3;1993;0;1;0
396;21;1;1993-03-08;8;3;1993;0;1;0
2694;7;1;1993-03-08;8;3;1993;0;1;0
4596;74;1;1993-03-09;9;3;1993;0;1;0
2489;72;1;1993-03-09;9;3;1993;0;1;0
2895;19;1;1993-03-09;9;3;1993;0;1;0
317;76;1;1993-03-10;10;3;1993;0;1;0
2555;53;1;1993-03-10;10;3;1993;0;1;0
494;60;1;1993-03-11;11;3;1993;0;1;0
2219;60;1;1993-03-11;11;3;1993;0;1;0
2581;72;1;1993-03-11;11;3;1993;0;1;0
112;6;1;1993-03-12;12;3;1993;0;1;0
3674;38;1;1993-03-12;12;3;1993;0;1;0
2039;44;1;1993-03-12;12;3;1993;0;1;0
2712;9;1;1993-03-12;12;3;1993;0;1;0
395;1;1;1993-03-12;12;3;1993;0;1;0
2974;9;1;1993-03-13;13;3;1993;0;1;0
123;21;1;1993-03-13;13;3;1993;0;1;0
7106;1;1;1993-03-13;13;3;1993;0;1;0
3108;53;1;1993-03-14;14;3;1993;0;1;0
2508;34;1;1993-03-14;14;3;1993;0;1;0
2458;40;2;1993-03-14;14;3;1993;0;0;1
588;66;1;1993-03-14;14;3;1993;0;1;0
7106;10;1;1993-03-14;14;3;1993;0;1;0
6701;49;2;1993-03-15;15;3;1993;0;0;1
3883;72;1;1993-03-15;15;3;1993;0;1;0
222;37;1;1993-03-15;15;3;1993;0;1;0
2497;65;1;1993-03-16;16;3;1993;0;1;0
1372;1;1;1993-03-16;16;3;1993;0;1;0
3835;50;1;1993-03-16;16;3;1993;0;1;0
7106;64;1;1993-03-18;18;3;1993;0;1;0
2527;38;1;1993-03-19;19;3;1993;0;1;0
425;9;1;1993-03-19;19;3;1993;0;1;0
860;1;1;1993-03-19;19;3;1993;0;1;0
6034;6;2;1993-03-19;19;3;1993;0;0;1
7106;11;1;1993-03-19;19;3;1993;0;1;0
7106;1;1;1993-03-19;19;3;1993;0;1;0
115;68;1;1993-03-19;19;3;1993;0;1;0
1189;59;1;1993-03-19;19;3;1993;0;1;0
3675;64;1;1993-03-20;20;3;1993;0;1;0
3069;66;1;1993-03-20;20;3;1993;0;1;0
2762;19;1;1993-03-20;20;3;1993;0;1;0
892;70;1;1993-03-20;20;3;1993;0;1;0
1535;46;1;1993-03-20;20;3;1993;0;1;0
2618;60;1;1993-03-21;21;3;1993;0;1;0
2651;2;1;1993-03-21;21;3;1993;0;1;0
5442;34;1;1993-03-22;22;3;1993;0;1;0
1787;30;2;1993-03-22;22;3;1993;0;0;1
1397;17;1;1993-03-22;22;3;1993;0;1;0
3785;10;1;1993-03-24;24;3;1993;0;1;0
623;1;1;1993-03-24;24;3;1993;0;1;0
7106;31;1;1993-03-24;24;3;1993;0;1;0
3678;1;1;1993-03-24;24;3;1993;0;1;0
3001;1;1;1993-03-24;24;3;1993;0;1;0
655;53;1;1993-03-24;24;3;1993;0;1;0
4093;1;1;1993-03-25;25;3;1993;0;1;0
3260;68;1;1993-03-25;25;3;1993;0;1;0
2528;65;1;1993-03-25;25;3;1993;0;1;0
2011;75;1;1993-03-25;25;3;1993;0;1;0
1721;68;1;1993-03-25;25;3;1993;0;1;0
1332;59;1;1993-03-25;25;3;1993;0;1;0
1402;74;1;1993-03-26;26;3;1993;0;1;0
3283;68;1;1993-03-26;26;3;1993;0;1;0
3781;31;1;1993-03-26;26;3;1993;0;1;0
7106;71;1;1993-03-26;26;3;1993;0;1;0
1065;72;1;1993-03-27;27;3;1993;0;1;0
3076;54;1;1993-03-27;27;3;1993;0;1;0
4347;1;1;1993-03-27;27;3;1993;0;1;0
1157;7;1;1993-03-27;27;3;1993;0;1;0
7106;1;2;1993-03-27;27;3;1993;0;0;1
1874;9;1;1993-03-27;27;3;1993;0;1;0
1115;34;1;1993-03-27;27;3;1993;0;1;0
3586;59;1;1993-03-27;27;3;1993;0;1;0
62;47;1;1993-03-28;28;3;1993;0;1;0
1771;69;1;1993-03-28;28;3;1993;0;1;0
5483;13;1;1993-03-28;28;3;1993;0;1;0
7106;48;1;1993-03-28;28;3;1993;0;1;0
187;5;1;1993-03-28;28;3;1993;0;1;0
423;12;1;1993-03-28;28;3;1993;0;1;0
6425;31;1;1993-03-29;29;3;1993;0;1;0
2493;62;1;1993-03-29;29;3;1993;0;1;0
2896;29;1;1993-03-30;30;3;1993;0;1;0
2245;29;1;1993-03-30;30;3;1993;0;1;0
3923;52;1;1993-03-30;30;3;1993;0;1;0
1898;70;1;1993-04-01;1;4;1993;0;1;0
3367;1;1;1993-04-01;1;4;1993;0;1;0
3391;74;1;1993-04-01;1;4;1993;0;1;0
7106;23;1;1993-04-02;2;4;1993;0;1;0
1780;1;1;1993-04-02;2;4;1993;0;1;0
3915;65;1;1993-04-02;2;4;1993;0;1;0
3980;75;1;1993-04-03;3;4;1993;0;1;0
4350;63;1;1993-04-04;4;4;1993;0;1;0
686;41;1;1993-04-04;4;4;1993;0;1;0
362;15;1;1993-04-04;4;4;1993;0;1;0
299;77;1;1993-04-05;5;4;1993;0;1;0
2488;5;1;1993-04-06;6;4;1993;0;1;0
2985;71;1;1993-04-06;6;4;1993;0;1;0
385;5;1;1993-04-07;7;4;1993;0;1;0
2817;56;1;1993-04-07;7;4;1993;0;1;0
2056;58;1;1993-04-07;7;4;1993;0;1;0
2002;1;1;1993-04-08;8;4;1993;0;1;0
748;10;1;1993-04-08;8;4;1993;0;1;0
220;72;1;1993-04-09;9;4;1993;0;1;0
1422;68;1;1993-04-09;9;4;1993;0;1;0
1147;44;1;1993-04-10;10;4;1993;0;1;0
3788;70;1;1993-04-10;10;4;1993;0;1;0
1891;32;1;1993-04-10;10;4;1993;0;1;0
1239;1;1;1993-04-10;10;4;1993;0;1;0
7106;77;1;1993-04-12;12;4;1993;0;1;0
3213;51;1;1993-04-12;12;4;1993;0;1;0
2838;3;2;1993-04-13;13;4;1993;0;0;1
3644;38;1;1993-04-13;13;4;1993;0;1;0
4318;33;2;1993-04-13;13;4;1993;0;0;1
2648;51;1;1993-04-13;13;4;1993;0;1;0
2313;26;2;1993-04-13;13;4;1993;0;0;1
5428;24;1;1993-04-14;14;4;1993;0;1;0
7106;64;0;1993-04-14;14;4;1993;1;0;0
279;39;1;1993-04-14;14;4;1993;0;1;0
104;37;1;1993-04-15;15;4;1993;0;1;0
497;55;1;1993-04-15;15;4;1993;0;1;0
1152;45;1;1993-04-15;15;4;1993;0;1;0
83;26;1;1993-04-16;16;4;1993;0;1;0
2008;52;1;1993-04-16;16;4;1993;0;1;0
3327;45;1;1993-04-16;16;4;1993;0;1;0
5740;43;1;1993-04-16;16;4;1993;0;1;0
7106;5;2;1993-04-17;17;4;1993;0;0;1
7106;45;2;1993-04-17;17;4;1993;0;0;1
2216;74;1;1993-04-17;17;4;1993;0;1;0
1815;66;1;1993-04-17;17;4;1993;0;1;0
2823;57;1;1993-04-18;18;4;1993;0;1;0
4321;47;1;1993-04-18;18;4;1993;0;1;0
1773;33;1;1993-04-19;19;4;1993;0;1;0
7106;4;1;1993-04-19;19;4;1993;0;1;0
188;54;1;1993-04-20;20;4;1993;0;1;0
7106;18;2;1993-04-20;20;4;1993;0;0;1
2599;48;1;1993-04-20;20;4;1993;0;1;0
1166;11;1;1993-04-21;21;4;1993;0;1;0
504;73;1;1993-04-21;21;4;1993;0;1;0
1518;67;1;1993-04-21;21;4;1993;0;1;0
2189;75;1;1993-04-22;22;4;1993;0;1;0
6040;1;1;1993-04-22;22;4;1993;0;1;0
2876;52;1;1993-04-22;22;4;1993;0;1;0
1505;69;1;1993-04-23;23;4;1993;0;1;0
6897;48;1;1993-04-23;23;4;1993;0;1;0
4377;28;1;1993-04-24;24;4;1993;0;1;0
717;75;1;1993-04-24;24;4;1993;0;1;0
7106;70;1;1993-04-24;24;4;1993;0;1;0
2814;72;1;1993-04-25;25;4;1993;0;1;0
3068;59;1;1993-04-25;25;4;1993;0;1;0
1476;61;1;1993-04-26;26;4;1993;0;1;0
897;38;1;1993-04-26;26;4;1993;0;1;0
977;1;1;1993-04-26;26;4;1993;0;1;0
2639;17;1;1993-04-26;26;4;1993;0;1;0
1032;11;1;1993-04-26;26;4;1993;0;1;0
928;20;1;1993-04-26;26;4;1993;0;1;0
168;31;1;1993-04-27;27;4;1993;0;1;0
2175;1;1;1993-04-27;27;4;1993;0;1;0
7106;55;1;1993-04-28;28;4;1993;0;1;0
1392;60;1;1993-04-28;28;4;1993;0;1;0
3697;45;1;1993-04-29;29;4;1993;0;1;0
5313;40;1;1993-04-29;29;4;1993;0;1;0
2222;47;1;1993-05-01;1;5;1993;0;1;0
2641;7;1;1993-05-02;2;5;1993;0;1;0
5423;15;1;1993-05-02;2;5;1993;0;1;0
2609;73;1;1993-05-03;3;5;1993;0;1;0
5472;1;1;1993-05-04;4;5;1993;0;1;0
2932;72;1;1993-05-04;4;5;1993;0;1;0
4254;70;1;1993-05-04;4;5;1993;0;1;0
3965;31;1;1993-05-04;4;5;1993;0;1;0
7106;8;1;1993-05-05;5;5;1993;0;1;0
887;1;1;1993-05-05;5;5;1993;0;1;0
4743;64;1;1993-05-05;5;5;1993;0;1;0
1048;35;1;1993-05-05;5;5;1993;0;1;0
1671;6;1;1993-05-05;5;5;1993;0;1;0
1236;19;1;1993-05-05;5;5;1993;0;1;0
1822;30;1;1993-05-05;5;5;1993;0;1;0
3316;28;1;1993-05-06;6;5;1993;0;1;0
2037;20;1;1993-05-06;6;5;1993;0;1;0
7106;62;1;1993-05-06;6;5;1993;0;1;0
3999;35;1;1993-05-06;6;5;1993;0;1;0
551;77;1;1993-05-07;7;5;1993;0;1;0
1200;33;1;1993-05-07;7;5;1993;0;1;0
1161;66;1;1993-05-08;8;5;1993;0;1;0
5372;48;1;1993-05-08;8;5;1993;0;1;0
3050;60;1;1993-05-08;8;5;1993;0;1;0
1784;59;1;1993-05-08;8;5;1993;0;1;0
1603;1;1;1993-05-09;9;5;1993;0;1;0
1887;68;1;1993-05-09;9;5;1993;0;1;0
1644;1;1;1993-05-09;9;5;1993;0;1;0
1658;73;1;1993-05-10;10;5;1993;0;1;0
44;32;1;1993-05-10;10;5;1993;0;1;0
1039;70;2;1993-05-10;10;5;1993;0;0;1
1071;68;2;1993-05-10;10;5;1993;0;0;1
2410;54;1;1993-05-11;11;5;1993;0;1;0
2523;10;1;1993-05-11;11;5;1993;0;1;0
790;54;1;1993-05-11;11;5;1993;0;1;0
2583;62;1;1993-05-11;11;5;1993;0;1;0
1782;8;1;1993-05-12;12;5;1993;0;1;0
751;3;1;1993-05-12;12;5;1993;0;1;0
2061;24;1;1993-05-12;12;5;1993;0;1;0
7106;13;1;1993-05-12;12;5;1993;0;1;0
2321;35;1;1993-05-13;13;5;1993;0;1;0
1334;74;1;1993-05-14;14;5;1993;0;1;0
3649;54;1;1993-05-14;14;5;1993;0;1;0
555;24;1;1993-05-15;15;5;1993;0;1;0
3173;39;1;1993-05-15;15;5;1993;0;1;0
863;71;1;1993-05-16;16;5;1993;0;1;0
3181;42;1;1993-05-16;16;5;1993;0;1;0
3210;1;1;1993-05-17;17;5;1993;0;1;0
489;16;1;1993-05-17;17;5;1993;0;1;0
947;59;1;1993-05-17;17;5;1993;0;1;0
3284;64;1;1993-05-17;17;5;1993;0;1;0
1610;52;1;1993-05-17;17;5;1993;0;1;0
4225;55;1;1993-05-18;18;5;1993;0;1;0
1412;64;1;1993-05-18;18;5;1993;0;1;0
1937;36;1;1993-05-18;18;5;1993;0;1;0
991;39;1;1993-05-18;18;5;1993;0;1;0
1180;20;1;1993-05-19;19;5;1993;0;1;0
2758;70;1;1993-05-19;19;5;1993;0;1;0
2711;58;1;1993-05-19;19;5;1993;0;1;0
1652;74;1;1993-05-20;20;5;1993;0;1;0
3099;70;1;1993-05-20;20;5;1993;0;1;0
7106;1;1;1993-05-20;20;5;1993;0;1;0
7106;74;1;1993-05-20;20;5;1993;0;1;0
7106;11;1;1993-05-20;20;5;1993;0;1;0
5385;44;2;1993-05-21;21;5;1993;0;0;1
23;30;1;1993-05-22;22;5;1993;0;1;0
2645;54;1;1993-05-22;22;5;1993;0;1;0
2991;19;1;1993-05-22;22;5;1993;0;1;0
3469;76;1;1993-05-22;22;5;1993;0;1;0
1851;55;1;1993-05-23;23;5;1993;0;1;0
3844;67;1;1993-05-23;23;5;1993;0;1;0
1442;23;1;1993-05-23;23;5;1993;0;1;0
3064;40;1;1993-05-23;23;5;1993;0;1;0
3558;4;1;1993-05-23;23;5;1993;0;1;0
1534;1;1;1993-05-24;24;5;1993;0;1;0
334;1;1;1993-05-24;24;5;1993;0;1;0
1786;1;1;1993-05-25;25;5;1993;0;1;0
1272;40;2;1993-05-25;25;5;1993;0;0;1
2436;67;1;1993-05-25;25;5;1993;0;1;0
3796;53;1;1993-05-25;25;5;1993;0;1;0
119;27;1;1993-05-25;25;5;1993;0;1;0
3063;72;1;1993-05-26;26;5;1993;0;1;0
18;43;2;1993-05-26;26;5;1993;0;0;1
7106;44;1;1993-05-26;26;5;1993;0;1;0
3888;39;1;1993-05-27;27;5;1993;0;1;0
1584;30;1;1993-05-27;27;5;1993;0;1;0
5546;43;1;1993-05-28;28;5;1993;0;1;0
2029;55;1;1993-05-29;29;5;1993;0;1;0
7106;1;2;1993-05-29;29;5;1993;0;0;1
2467;33;1;1993-05-29;29;5;1993;0;1;0
2962;1;1;1993-05-30;30;5;1993;0;1;0
165;25;1;1993-06-01;1;6;1993;0;1;0
1617;45;1;1993-06-01;1;6;1993;0;1;0
327;54;1;1993-06-02;2;6;1993;0;1;0
2068;21;1;1993-06-02;2;6;1993;0;1;0
4448;60;1;1993-06-02;2;6;1993;0;1;0
640;32;1;1993-06-02;2;6;1993;0;1;0
510;1;2;1993-06-02;2;6;1993;0;0;1
2534;61;1;1993-06-03;3;6;1993;0;1;0
1018;7;1;1993-06-03;3;6;1993;0;1;0
1285;65;1;1993-06-04;4;6;1993;0;1;0
3670;27;1;1993-06-04;4;6;1993;0;1;0
1743;51;1;1993-06-04;4;6;1993;0;1;0
3072;8;1;1993-06-05;5;6;1993;0;1;0
2146;31;1;1993-06-05;5;6;1993;0;1;0
4576;27;1;1993-06-05;5;6;1993;0;1;0
3258;53;1;1993-06-05;5;6;1993;0;1;0
2176;67;1;1993-06-06;6;6;1993;0;1;0
7106;51;1;1993-06-06;6;6;1993;0;1;0
1999;70;1;1993-06-06;6;6;1993;0;1;0
2741;15;1;1993-06-07;7;6;1993;0;1;0
4427;32;1;1993-06-07;7;6;1993;0;1;0
3682;70;1;1993-06-07;7;6;1993;0;1;0
2862;33;1;1993-06-07;7;6;1993;0;1;0
3032;5;1;1993-06-07;7;6;1993;0;1;0
701;69;1;1993-06-08;8;6;1993;0;1;0
6281;56;1;1993-06-08;8;6;1993;0;1;0
306;16;1;1993-06-08;8;6;1993;0;1;0
1207;67;1;1993-06-08;8;6;1993;0;1;0
1247;25;1;1993-06-08;8;6;1993;0;1;0
5343;64;1;1993-06-08;8;6;1993;0;1;0
5129;68;1;1993-06-08;8;6;1993;0;1;0
3713;14;2;1993-06-08;8;6;1993;0;0;1
2327;19;1;1993-06-08;8;6;1993;0;1;0
774;1;1;1993-06-08;8;6;1993;0;1;0
1990;1;1;1993-06-09;9;6;1993;0;1;0
2388;30;1;1993-06-09;9;6;1993;0;1;0
3566;21;1;1993-06-09;9;6;1993;0;1;0
7106;54;1;1993-06-10;10;6;1993;0;1;0
3771;22;1;1993-06-11;11;6;1993;0;1;0
1978;57;2;1993-06-11;11;6;1993;0;0;1
2022;72;1;1993-06-11;11;6;1993;0;1;0
3542;49;1;1993-06-11;11;6;1993;0;1;0
1515;11;1;1993-06-11;11;6;1993;0;1;0
4171;28;1;1993-06-12;12;6;1993;0;1;0
433;20;1;1993-06-12;12;6;1993;0;1;0
1373;47;1;1993-06-12;12;6;1993;0;1;0
3246;54;1;1993-06-14;14;6;1993;0;1;0
1475;1;2;1993-06-14;14;6;1993;0;0;1
3133;66;1;1993-06-14;14;6;1993;0;1;0
2779;73;1;1993-06-15;15;6;1993;0;1;0
135;75;1;1993-06-15;15;6;1993;0;1;0
446;50;1;1993-06-15;15;6;1993;0;1;0
