account_id;account_district_number;account_frequency;account_date;account_age_days;account_year
627;63;1;1993-02-05;10886;1993
2429;61;1;1993-02-06;10885;1993
3960;64;1;1993-02-06;10885;1993
2256;48;1;1993-02-06;10885;1993
8051;1;2;1993-02-07;10884;1993
2647;73;1;1993-02-08;10883;1993
2241;6;1;1993-02-08;10883;1993
5622;70;1;1993-02-08;10883;1993
2884;1;1;1993-02-08;10883;1993
1830;10;1;1993-02-08;10883;1993
7753;74;1;1993-02-08;10883;1993
244;24;1;1993-02-08;10883;1993
1477;1;1;1993-02-08;10883;1993
4240;50;1;1993-02-08;10883;1993
1006;6;1;1993-02-08;10883;1993
830;74;1;1993-02-08;10883;1993
9188;45;1;1993-02-08;10883;1993
1965;57;0;1993-02-08;10883;1993
1134;6;1;1993-02-09;10882;1993
1601;10;1;1993-02-09;10882;1993
2861;38;1;1993-02-10;10881;1993
813;16;1;1993-02-10;10881;1993
2585;75;1;1993-02-10;10881;1993
2220;16;1;1993-02-10;10881;1993
2763;64;1;1993-02-11;10880;1993
2342;51;1;1993-02-11;10880;1993
1944;72;1;1993-02-12;10879;1993
1966;27;1;1993-02-12;10879;1993
1801;46;1;1993-02-13;10878;1993
2543;68;1;1993-02-13;10878;1993
2293;31;1;1993-02-13;10878;1993
11013;1;2;1993-02-14;10877;1993
2423;30;1;1993-02-14;10877;1993
142;51;1;1993-02-15;10876;1993
3424;74;1;1993-02-16;10875;1993
539;13;0;1993-02-16;10875;1993
979;21;1;1993-02-16;10875;1993
3554;66;1;1993-02-16;10875;1993
3545;51;1;1993-02-17;10874;1993
3047;16;1;1993-02-17;10874;1993
3374;21;1;1993-02-17;10874;1993
96;68;1;1993-02-18;10873;1993
461;30;1;1993-02-18;10873;1993
3593;1;1;1993-02-18;10873;1993
3026;24;1;1993-02-18;10873;1993
1054;10;1;1993-02-19;10872;1993
2433;71;1;1993-02-19;10872;1993
3691;50;1;1993-02-19;10872;1993
3787;70;1;1993-02-19;10872;1993
128;2;1;1993-02-19;10872;1993
3168;39;1;1993-02-20;10871;1993
4937;12;1;1993-02-20;10871;1993
2124;69;1;1993-02-20;10871;1993
322;1;1;1993-02-20;10871;1993
4355;31;1;1993-02-21;10870;1993
1678;1;1;1993-02-22;10869;1993
2396;2;1;1993-02-22;10869;1993
1005;54;2;1993-02-23;10868;1993
697;28;1;1993-02-23;10868;1993
925;59;1;1993-02-23;10868;1993
2110;64;1;1993-02-23;10868;1993
1366;60;1;1993-02-24;10867;1993
1050;57;0;1993-02-24;10867;1993
3117;33;1;1993-02-24;10867;1993
562;50;1;1993-02-25;10866;1993
5369;54;1;1993-02-25;10866;1993
2242;7;2;1993-02-25;10866;1993
197;1;1;1993-02-25;10866;1993
496;69;1;1993-02-26;10865;1993
2;1;1;1993-02-26;10865;1993
7401;1;1;1993-02-26;10865;1993
2486;1;1;1993-02-27;10864;1993
428;1;1;1993-02-27;10864;1993
3651;23;1;1993-02-27;10864;1993
1775;17;1;1993-02-27;10864;1993
1688;70;1;1993-02-27;10864;1993
361;51;1;1993-02-27;10864;1993
1829;43;1;1993-02-27;10864;1993
1575;1;1;1993-02-27;10864;1993
9203;70;1;1993-02-27;10864;1993
3008;72;1;1993-02-27;10864;1993
239;69;2;1993-03-01;10862;1993
3302;21;1;1993-03-02;10861;1993
415;25;1;1993-03-03;10860;1993
3513;20;1;1993-03-03;10860;1993
4134;7;1;1993-03-03;10860;1993
1077;14;1;1993-03-03;10860;1993
1713;43;1;1993-03-03;10860;1993
1378;59;1;1993-03-04;10859;1993
2503;1;1;1993-03-05;10858;1993
559;46;1;1993-03-05;10858;1993
6555;38;2;1993-03-05;10858;1993
744;42;1;1993-03-06;10857;1993
882;9;1;1993-03-06;10857;1993
86;54;1;1993-03-07;10856;1993
1126;56;1;1993-03-08;10855;1993
2666;49;1;1993-03-08;10855;1993
944;70;1;1993-03-08;10855;1993
1545;1;1;1993-03-08;10855;1993
2453;1;1;1993-03-08;10855;1993
3734;43;1;1993-03-08;10855;1993
3935;23;1;1993-03-08;10855;1993
396;21;1;1993-03-08;10855;1993
2694;7;1;1993-03-08;10855;1993
4596;74;1;1993-03-09;10854;1993
2489;72;1;1993-03-09;10854;1993
2895;19;1;1993-03-09;10854;1993
317;76;1;1993-03-10;10853;1993
2555;53;1;1993-03-10;10853;1993
494;60;1;1993-03-11;10852;1993
2219;60;1;1993-03-11;10852;1993
2581;72;1;1993-03-11;10852;1993
112;6;1;1993-03-12;10851;1993
3674;38;1;1993-03-12;10851;1993
2039;44;1;1993-03-12;10851;1993
2712;9;1;1993-03-12;10851;1993
395;1;1;1993-03-12;10851;1993
2974;9;1;1993-03-13;10850;1993
123;21;1;1993-03-13;10850;1993
9640;1;1;1993-03-13;10850;1993
3108;53;1;1993-03-14;10849;1993
2508;34;1;1993-03-14;10849;1993
2458;40;2;1993-03-14;10849;1993
588;66;1;1993-03-14;10849;1993
7231;10;1;1993-03-14;10849;1993
6701;49;2;1993-03-15;10848;1993
3883;72;1;1993-03-15;10848;1993
222;37;1;1993-03-15;10848;1993
2497;65;1;1993-03-16;10847;1993
1372;1;1;1993-03-16;10847;1993
3835;50;1;1993-03-16;10847;1993
7445;64;1;1993-03-18;10845;1993
2527;38;1;1993-03-19;10844;1993
425;9;1;1993-03-19;10844;1993
860;1;1;1993-03-19;10844;1993
6034;6;2;1993-03-19;10844;1993
11065;11;1;1993-03-19;10844;1993
9883;1;1;1993-03-19;10844;1993
115;68;1;1993-03-19;10844;1993
1189;59;1;1993-03-19;10844;1993
3675;64;1;1993-03-20;10843;1993
3069;66;1;1993-03-20;10843;1993
2762;19;1;1993-03-20;10843;1993
892;70;1;1993-03-20;10843;1993
1535;46;1;1993-03-20;10843;1993
2618;60;1;1993-03-21;10842;1993
2651;2;1;1993-03-21;10842;1993
5442;34;1;1993-03-22;10841;1993
1787;30;2;1993-03-22;10841;1993
1397;17;1;1993-03-22;10841;1993
3785;10;1;1993-03-24;10839;1993
623;1;1;1993-03-24;10839;1993
8260;31;1;1993-03-24;10839;1993
3678;1;1;1993-03-24;10839;1993
3001;1;1;1993-03-24;10839;1993
655;53;1;1993-03-24;10839;1993
4093;1;1;1993-03-25;10838;1993
3260;68;1;1993-03-25;10838;1993
2528;65;1;1993-03-25;10838;1993
2011;75;1;1993-03-25;10838;1993
1721;68;1;1993-03-25;10838;1993
1332;59;1;1993-03-25;10838;1993
1402;74;1;1993-03-26;10837;1993
3283;68;1;1993-03-26;10837;1993
3781;31;1;1993-03-26;10837;1993
7203;71;1;1993-03-26;10837;1993
1065;72;1;1993-03-27;10836;1993
3076;54;1;1993-03-27;10836;1993
4347;1;1;1993-03-27;10836;1993
1157;7;1;1993-03-27;10836;1993
9403;1;2;1993-03-27;10836;1993
1874;9;1;1993-03-27;10836;1993
1115;34;1;1993-03-27;10836;1993
3586;59;1;1993-03-27;10836;1993
62;47;1;1993-03-28;10835;1993
1771;69;1;1993-03-28;10835;1993
5483;13;1;1993-03-28;10835;1993
8330;48;1;1993-03-28;10835;1993
187;5;1;1993-03-28;10835;1993
423;12;1;1993-03-28;10835;1993
6425;31;1;1993-03-29;10834;1993
2493;62;1;1993-03-29;10834;1993
2896;29;1;1993-03-30;10833;1993
2245;29;1;1993-03-30;10833;1993
3923;52;1;1993-03-30;10833;1993
1898;70;1;1993-04-01;10831;1993
3367;1;1;1993-04-01;10831;1993
3391;74;1;1993-04-01;10831;1993
8519;23;1;1993-04-02;10830;1993
1780;1;1;1993-04-02;10830;1993
3915;65;1;1993-04-02;10830;1993
3980;75;1;1993-04-03;10829;1993
4350;63;1;1993-04-04;10828;1993
686;41;1;1993-04-04;10828;1993
362;15;1;1993-04-04;10828;1993
299;77;1;1993-04-05;10827;1993
2488;5;1;1993-04-06;10826;1993
2985;71;1;1993-04-06;10826;1993
385;5;1;1993-04-07;10825;1993
2817;56;1;1993-04-07;10825;1993
2056;58;1;1993-04-07;10825;1993
2002;1;1;1993-04-08;10824;1993
748;10;1;1993-04-08;10824;1993
220;72;1;1993-04-09;10823;1993
1422;68;1;1993-04-09;10823;1993
1147;44;1;1993-04-10;10822;1993
3788;70;1;1993-04-10;10822;1993
1891;32;1;1993-04-10;10822;1993
1239;1;1;1993-04-10;10822;1993
8321;77;1;1993-04-12;10820;1993
3213;51;1;1993-04-12;10820;1993
2838;3;2;1993-04-13;10819;1993
3644;38;1;1993-04-13;10819;1993
4318;33;2;1993-04-13;10819;1993
2648;51;1;1993-04-13;10819;1993
2313;26;2;1993-04-13;10819;1993
5428;24;1;1993-04-14;10818;1993
7123;64;0;1993-04-14;10818;1993
279;39;1;1993-04-14;10818;1993
104;37;1;1993-04-15;10817;1993
497;55;1;1993-04-15;10817;1993
1152;45;1;1993-04-15;10817;1993
83;26;1;1993-04-16;10816;1993
2008;52;1;1993-04-16;10816;1993
3327;45;1;1993-04-16;10816;1993
5740;43;1;1993-04-16;10816;1993
8132;5;2;1993-04-17;10815;1993
10738;45;2;1993-04-17;10815;1993
2216;74;1;1993-04-17;10815;1993
1815;66;1;1993-04-17;10815;1993
2823;57;1;1993-04-18;10814;1993
4321;47;1;1993-04-18;10814;1993
1773;33;1;1993-04-19;10813;1993
7454;4;1;1993-04-19;10813;1993
188;54;1;1993-04-20;10812;1993
10973;18;2;1993-04-20;10812;1993
2599;48;1;1993-04-20;10812;1993
1166;11;1;1993-04-21;10811;1993
504;73;1;1993-04-21;10811;1993
1518;67;1;1993-04-21;10811;1993
2189;75;1;1993-04-22;10810;1993
6040;1;1;1993-04-22;10810;1993
2876;52;1;1993-04-22;10810;1993
1505;69;1;1993-04-23;10809;1993
6897;48;1;1993-04-23;10809;1993
4377;28;1;1993-04-24;10808;1993
717;75;1;1993-04-24;10808;1993
9707;70;1;1993-04-24;10808;1993
2814;72;1;1993-04-25;10807;1993
3068;59;1;1993-04-25;10807;1993
1476;61;1;1993-04-26;10806;1993
897;38;1;1993-04-26;10806;1993
977;1;1;1993-04-26;10806;1993
2639;17;1;1993-04-26;10806;1993
1032;11;1;1993-04-26;10806;1993
928;20;1;1993-04-26;10806;1993
168;31;1;1993-04-27;10805;1993
2175;1;1;1993-04-27;10805;1993
10105;55;1;1993-04-28;10804;1993
1392;60;1;1993-04-28;10804;1993
3697;45;1;1993-04-29;10803;1993
5313;40;1;1993-04-29;10803;1993
2222;47;1;1993-05-01;10801;1993
2641;7;1;1993-05-02;10800;1993
5423;15;1;1993-05-02;10800;1993
2609;73;1;1993-05-03;10799;1993
5472;1;1;1993-05-04;10798;1993
2932;72;1;1993-05-04;10798;1993
4254;70;1;1993-05-04;10798;1993
3965;31;1;1993-05-04;10798;1993
10656;8;1;1993-05-05;10797;1993
887;1;1;1993-05-05;10797;1993
4743;64;1;1993-05-05;10797;1993
1048;35;1;1993-05-05;10797;1993
1671;6;1;1993-05-05;10797;1993
1236;19;1;1993-05-05;10797;1993
1822;30;1;1993-05-05;10797;1993
3316;28;1;1993-05-06;10796;1993
2037;20;1;1993-05-06;10796;1993
10079;62;1;1993-05-06;10796;1993
3999;35;1;1993-05-06;10796;1993
551;77;1;1993-05-07;10795;1993
1200;33;1;1993-05-07;10795;1993
1161;66;1;1993-05-08;10794;1993
5372;48;1;1993-05-08;10794;1993
3050;60;1;1993-05-08;10794;1993
1784;59;1;1993-05-08;10794;1993
1603;1;1;1993-05-09;10793;1993
1887;68;1;1993-05-09;10793;1993
1644;1;1;1993-05-09;10793;1993
1658;73;1;1993-05-10;10792;1993
44;32;1;1993-05-10;10792;1993
1039;70;2;1993-05-10;10792;1993
1071;68;2;1993-05-10;10792;1993
2410;54;1;1993-05-11;10791;1993
2523;10;1;1993-05-11;10791;1993
790;54;1;1993-05-11;10791;1993
2583;62;1;1993-05-11;10791;1993
1782;8;1;1993-05-12;10790;1993
751;3;1;1993-05-12;10790;1993
2061;24;1;1993-05-12;10790;1993
8261;13;1;1993-05-12;10790;1993
2321;35;1;1993-05-13;10789;1993
1334;74;1;1993-05-14;10788;1993
3649;54;1;1993-05-14;10788;1993
555;24;1;1993-05-15;10787;1993
3173;39;1;1993-05-15;10787;1993
863;71;1;1993-05-16;10786;1993
3181;42;1;1993-05-16;10786;1993
3210;1;1;1993-05-17;10785;1993
489;16;1;1993-05-17;10785;1993
947;59;1;1993-05-17;10785;1993
3284;64;1;1993-05-17;10785;1993
1610;52;1;1993-05-17;10785;1993
4225;55;1;1993-05-18;10784;1993
1412;64;1;1993-05-18;10784;1993
1937;36;1;1993-05-18;10784;1993
991;39;1;1993-05-18;10784;1993
1180;20;1;1993-05-19;10783;1993
2758;70;1;1993-05-19;10783;1993
2711;58;1;1993-05-19;10783;1993
1652;74;1;1993-05-20;10782;1993
3099;70;1;1993-05-20;10782;1993
11111;1;1;1993-05-20;10782;1993
9591;74;1;1993-05-20;10782;1993
9828;11;1;1993-05-20;10782;1993
5385;44;2;1993-05-21;10781;1993
23;30;1;1993-05-22;10780;1993
2645;54;1;1993-05-22;10780;1993
2991;19;1;1993-05-22;10780;1993
3469;76;1;1993-05-22;10780;1993
1851;55;1;1993-05-23;10779;1993
3844;67;1;1993-05-23;10779;1993
1442;23;1;1993-05-23;10779;1993
3064;40;1;1993-05-23;10779;1993
3558;4;1;1993-05-23;10779;1993
1534;1;1;1993-05-24;10778;1993
334;1;1;1993-05-24;10778;1993
1786;1;1;1993-05-25;10777;1993
1272;40;2;1993-05-25;10777;1993
2436;67;1;1993-05-25;10777;1993
3796;53;1;1993-05-25;10777;1993
119;27;1;1993-05-25;10777;1993
3063;72;1;1993-05-26;10776;1993
18;43;2;1993-05-26;10776;1993
11320;44;1;1993-05-26;10776;1993
3888;39;1;1993-05-27;10775;1993
1584;30;1;1993-05-27;10775;1993
5546;43;1;1993-05-28;10774;1993
2029;55;1;1993-05-29;10773;1993
10911;1;2;1993-05-29;10773;1993
2467;33;1;1993-05-29;10773;1993
2962;1;1;1993-05-30;10772;1993
165;25;1;1993-06-01;10770;1993
1617;45;1;1993-06-01;10770;1993
327;54;1;1993-06-02;10769;1993
2068;21;1;1993-06-02;10769;1993
4448;60;1;1993-06-02;10769;1993
640;32;1;1993-06-02;10769;1993
510;1;2;1993-06-02;10769;1993
2534;61;1;1993-06-03;10768;1993
1018;7;1;1993-06-03;10768;1993
1285;65;1;1993-06-04;10767;1993
3670;27;1;1993-06-04;10767;1993
1743;51;1;1993-06-04;10767;1993
3072;8;1;1993-06-05;10766;1993
2146;31;1;1993-06-05;10766;1993
4576;27;1;1993-06-05;10766;1993
3258;53;1;1993-06-05;10766;1993
2176;67;1;1993-06-06;10765;1993
8934;51;1;1993-06-06;10765;1993
1999;70;1;1993-06-06;10765;1993
2741;15;1;1993-06-07;10764;1993
4427;32;1;1993-06-07;10764;1993
3682;70;1;1993-06-07;10764;1993
2862;33;1;1993-06-07;10764;1993
3032;5;1;1993-06-07;10764;1993
701;69;1;1993-06-08;10763;1993
6281;56;1;1993-06-08;10763;1993
306;16;1;1993-06-08;10763;1993
1207;67;1;1993-06-08;10763;1993
1247;25;1;1993-06-08;10763;1993
5343;64;1;1993-06-08;10763;1993
5129;68;1;1993-06-08;10763;1993
3713;14;2;1993-06-08;10763;1993
2327;19;1;1993-06-08;10763;1993
774;1;1;1993-06-08;10763;1993
1990;1;1;1993-06-09;10762;1993
2388;30;1;1993-06-09;10762;1993
3566;21;1;1993-06-09;10762;1993
10266;54;1;1993-06-10;10761;1993
3771;22;1;1993-06-11;10760;1993
1978;57;2;1993-06-11;10760;1993
2022;72;1;1993-06-11;10760;1993
3542;49;1;1993-06-11;10760;1993
1515;11;1;1993-06-11;10760;1993
4171;28;1;1993-06-12;10759;1993
433;20;1;1993-06-12;10759;1993
1373;47;1;1993-06-12;10759;1993
3246;54;1;1993-06-14;10757;1993
1475;1;2;1993-06-14;10757;1993
3133;66;1;1993-06-14;10757;1993
2779;73;1;1993-06-15;10756;1993
135;75;1;1993-06-15;10756;1993
446;50;1;1993-06-15;10756;1993
9093;47;1;1993-06-16;10755;1993
432;46;1;1993-06-16;10755;1993
2880;71;1;1993-06-16;10755;1993
5767;72;1;1993-06-16;10755;1993
1998;1;1;1993-06-17;10754;1993
2554;36;1;1993-06-18;10753;1993
2933;10;1;1993-06-18;10753;1993
773;15;1;1993-06-19;10752;1993
4894;14;1;1993-06-20;10751;1993
3969;39;1;1993-06-20;10751;1993
1277;31;1;1993-06-20;10751;1993
5120;1;1;1993-06-21;10750;1993
738;34;1;1993-06-21;10750;1993
1299;1;1;1993-06-21;10750;1993
148;8;1;1993-06-21;10750;1993
899;72;1;1993-06-21;10750;1993
3521;75;1;1993-06-22;10749;1993
3786;21;1;1993-06-22;10749;1993
886;1;1;1993-06-23;10748;1993
5228;77;0;1993-06-23;10748;1993
702;12;1;1993-06-23;10748;1993
300;1;1;1993-06-23;10748;1993
1451;64;1;1993-06-24;10747;1993
2940;54;1;1993-06-24;10747;1993
1837;23;1;1993-06-24;10747;1993
3954;22;1;1993-06-25;10746;1993
885;1;1;1993-06-25;10746;1993
2697;8;1;1993-06-26;10745;1993
8129;45;1;1993-06-26;10745;1993
1930;3;1;1993-06-27;10744;1993
2411;69;1;1993-06-27;10744;1993
3775;19;1;1993-06-27;10744;1993
9034;1;1;1993-06-28;10743;1993
902;74;1;1993-06-29;10742;1993
630;71;1;1993-06-29;10742;1993
3096;68;1;1993-06-29;10742;1993
2552;52;1;1993-07-01;10740;1993
3435;59;1;1993-07-01;10740;1993
5215;55;1;1993-07-01;10740;1993
36;1;1;1993-07-01;10740;1993
2687;76;1;1993-07-01;10740;1993
1861;54;1;1993-07-02;10739;1993
2464;33;0;1993-07-02;10739;1993
2736;72;1;1993-07-02;10739;1993
1145;31;1;1993-07-03;10738;1993
2298;31;1;1993-07-03;10738;1993
929;54;1;1993-07-03;10738;1993
381;68;1;1993-07-04;10737;1993
3778;52;1;1993-07-04;10737;1993
1118;48;1;1993-07-04;10737;1993
4352;2;1;1993-07-05;10736;1993
1322;17;1;1993-07-05;10736;1993
1852;35;1;1993-07-05;10736;1993
8173;11;1;1993-07-05;10736;1993
2705;63;0;1993-07-05;10736;1993
9472;1;2;1993-07-06;10735;1993
368;77;1;1993-07-06;10735;1993
1425;76;1;1993-07-06;10735;1993
8027;44;2;1993-07-07;10734;1993
3261;1;1;1993-07-07;10734;1993
35;75;1;1993-07-07;10734;1993
2186;63;1;1993-07-07;10734;1993
1566;73;1;1993-07-07;10734;1993
78;74;1;1993-07-07;10734;1993
3939;70;1;1993-07-08;10733;1993
2584;50;1;1993-07-08;10733;1993
2336;39;1;1993-07-08;10733;1993
2078;62;1;1993-07-08;10733;1993
3882;10;1;1993-07-09;10732;1993
4159;74;1;1993-07-09;10732;1993
907;41;1;1993-07-09;10732;1993
1411;54;1;1993-07-09;10732;1993
1684;32;2;1993-07-10;10731;1993
3748;1;1;1993-07-10;10731;1993
2213;68;1;1993-07-11;10730;1993
1062;6;1;1993-07-11;10730;1993
273;24;0;1993-07-11;10730;1993
10320;68;1;1993-07-11;10730;1993
1416;66;2;1993-07-12;10729;1993
3277;36;1;1993-07-12;10729;1993
1892;28;1;1993-07-13;10728;1993
3413;70;1;1993-07-13;10728;1993
3654;47;1;1993-07-13;10728;1993
3000;28;1;1993-07-14;10727;1993
3955;64;1;1993-07-14;10727;1993
1544;69;1;1993-07-14;10727;1993
9703;68;1;1993-07-15;10726;1993
234;73;1;1993-07-15;10726;1993
3241;44;1;1993-07-16;10725;1993
3465;1;1;1993-07-16;10725;1993
3152;1;1;1993-07-16;10725;1993
1497;1;1;1993-07-16;10725;1993
3078;1;1;1993-07-16;10725;1993
400;28;1;1993-07-17;10724;1993
1902;50;2;1993-07-17;10724;1993
757;50;1;1993-07-19;10722;1993
1116;1;1;1993-07-20;10721;1993
5700;42;1;1993-07-20;10721;1993
3267;64;1;1993-07-21;10720;1993
3222;4;1;1993-07-21;10720;1993
408;41;1;1993-07-21;10720;1993
2818;40;1;1993-07-21;10720;1993
6273;38;1;1993-07-21;10720;1993
2513;70;1;1993-07-22;10719;1993
3493;63;1;1993-07-22;10719;1993
1201;61;1;1993-07-23;10718;1993
4478;70;1;1993-07-23;10718;1993
2915;57;1;1993-07-23;10718;1993
9833;20;1;1993-07-24;10717;1993
2253;74;1;1993-07-24;10717;1993
1069;70;1;1993-07-24;10717;1993
207;2;1;1993-07-25;10716;1993
3212;70;1;1993-07-25;10716;1993
4035;1;1;1993-07-25;10716;1993
1268;74;1;1993-07-25;10716;1993
3287;18;1;1993-07-26;10715;1993
6226;74;2;1993-07-26;10715;1993
2123;64;1;1993-07-26;10715;1993
3982;26;1;1993-07-27;10714;1993
2701;71;1;1993-07-27;10714;1993
3629;48;1;1993-07-27;10714;1993
2841;71;1;1993-07-27;10714;1993
563;53;1;1993-07-27;10714;1993
2732;5;1;1993-07-27;10714;1993
1297;70;1;1993-07-27;10714;1993
7485;39;1;1993-07-28;10713;1993
2088;4;1;1993-07-28;10713;1993
225;1;1;1993-07-28;10713;1993
1630;72;1;1993-07-28;10713;1993
403;1;1;1993-07-29;10712;1993
445;63;2;1993-07-29;10712;1993
186;1;2;1993-07-29;10712;1993
3720;36;1;1993-07-30;10711;1993
574;70;1;1993-07-30;10711;1993
1429;57;1;1993-07-30;10711;1993
3580;43;1;1993-08-01;10709;1993
7819;38;1;1993-08-01;10709;1993
759;23;1;1993-08-01;10709;1993
6363;74;1;1993-08-01;10709;1993
3738;51;1;1993-08-01;10709;1993
4000;7;1;1993-08-02;10708;1993
9041;1;1;1993-08-03;10707;1993
2620;22;1;1993-08-03;10707;1993
3609;28;1;1993-08-03;10707;1993
1382;48;1;1993-08-03;10707;1993
930;41;1;1993-08-03;10707;1993
1925;12;1;1993-08-03;10707;1993
1834;62;1;1993-08-03;10707;1993
1507;35;1;1993-08-03;10707;1993
7857;75;1;1993-08-04;10706;1993
6636;72;2;1993-08-04;10706;1993
601;29;1;1993-08-04;10706;1993
3298;29;1;1993-08-04;10706;1993
2938;1;1;1993-08-04;10706;1993
2199;1;1;1993-08-04;10706;1993
3745;5;1;1993-08-04;10706;1993
3699;50;1;1993-08-05;10705;1993
816;52;1;1993-08-05;10705;1993
3656;53;1;1993-08-06;10704;1993
2038;42;1;1993-08-06;10704;1993
2542;21;1;1993-08-07;10703;1993
1136;12;1;1993-08-07;10703;1993
1589;37;1;1993-08-07;10703;1993
3136;69;1;1993-08-07;10703;1993
3547;54;1;1993-08-07;10703;1993
26;52;1;1993-08-08;10702;1993
657;47;1;1993-08-08;10702;1993
3538;58;1;1993-08-08;10702;1993
2167;16;1;1993-08-08;10702;1993
3127;66;1;1993-08-08;10702;1993
47;45;1;1993-08-08;10702;1993
3850;8;1;1993-08-09;10701;1993
5366;70;1;1993-08-09;10701;1993
747;39;1;1993-08-09;10701;1993
3166;71;1;1993-08-10;10700;1993
11021;1;1;1993-08-10;10700;1993
1701;1;1;1993-08-10;10700;1993
3613;43;1;1993-08-10;10700;1993
3600;27;1;1993-08-10;10700;1993
3792;10;1;1993-08-11;10699;1993
523;1;1;1993-08-11;10699;1993
3808;38;1;1993-08-11;10699;1993
1401;1;1;1993-08-12;10698;1993
541;61;1;1993-08-12;10698;1993
1023;21;1;1993-08-13;10697;1993
3683;33;1;1993-08-13;10697;1993
